any,attempted_problem,course_id,created,interval_end,interval_start,played_video,posted_forum
44,2,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-03-19T000000,2023-03-12T000000,6,3
29,2,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-03-26T000000,2023-03-19T000000,4,1
31,3,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-04-02T000000,2023-03-26T000000,8,
27,2,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-04-09T000000,2023-04-02T000000,8,2
19,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-04-16T000000,2023-04-09T000000,3,
33,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-04-23T000000,2023-04-16T000000,9,
19,2,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-04-30T000000,2023-04-23T000000,12,3
21,2,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-05-07T000000,2023-04-30T000000,9,1
28,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-05-14T000000,2023-05-07T000000,5,
29,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-05-21T000000,2023-05-14T000000,8,1
23,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-05-28T000000,2023-05-21T000000,4,1
23,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-06-04T000000,2023-05-28T000000,7,1
21,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-06-11T000000,2023-06-04T000000,4,2
31,2,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-06-18T000000,2023-06-11T000000,6,3
25,2,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-06-25T000000,2023-06-18T000000,7,
25,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-07-02T000000,2023-06-25T000000,5,
22,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-07-09T000000,2023-07-02T000000,4,
